Name,Scientific_Name,Pop_Global,Pop_US_Canada,Pop_Canada,Pop_USA,Max_NA_Pop
Saltmarsh Sparrow,Ammospiza caudacuta,60000,60000,0,0,60000
Fox Sparrow,Passerella iliaca,35000000,35000000,18000000,16000000,35000000
Song Sparrow,Melospiza melodia,130000000,130000000,55000000,71000000,130000000
Lincoln's Sparrow,Melospiza lincolnii,88000000,88000000,72000000,16000000,88000000
Swamp Sparrow,Melospiza georgiana,23000000,23000000,20000000,2800000,23000000
White-throated Sparrow,Zonotrichia albicollis,160000000,160000000,160000000,5600000,160000000
Harris's Sparrow,Zonotrichia querula,2000000,2000000,2000000,0,2000000
White-crowned Sparrow,Zonotrichia leucophrys,79000000,79000000,40000000,39000000,79000000
Golden-crowned Sparrow,Zonotrichia atricapilla,7500000,7500000,840000,6700000,7500000
Dark-eyed Junco,Junco hyemalis,220000000,220000000,140000000,81000000,220000000
Yellow-eyed Junco,Junco phaeonotus,4300000,470000,0,470000,470000
Yellow-breasted Chat,Icteria virens,17000000,15000000,8300,15000000,15000000
Yellow-headed Blackbird,Xanthocephalus xanthocephalus,11000000,11000000,2600000,8800000,11000000
Bobolink,Dolichonyx oryzivorus,10000000,10000000,2600000,7600000,10000000
Eastern Meadowlark,Sturnella magna,37000000,24000000,680000,24000000,24000000
Western Meadowlark,Sturnella neglecta,100000000,95000000,11000000,84000000,95000000
Orchard Oriole,Icterus spurius,12000000,11000000,91000,11000000,11000000
Hooded Oriole,Icterus cucullatus,1700000,350000,0,350000,350000
Bullock's Oriole,Icterus bullockii,7400000,6900000,260000,6700000,6900000
Audubon's Oriole,Icterus graduacauda,3500000,170000,0,170000,170000
Baltimore Oriole,Icterus galbula,12000000,12000000,1900000,9900000,12000000
Scott's Oriole,Icterus parisorum,4900000,1700000,0,1700000,1700000
Red-winged Blackbird,Agelaius phoeniceus,180000000,170000000,31000000,140000000,170000000
Tricolored Blackbird,Agelaius tricolor,180000,180000,0,180000,180000
Bronzed Cowbird,Molothrus aeneus,6600000,820000,0,820000,820000
Brown-headed Cowbird,Molothrus ater,130000000,130000000,25000000,100000000,130000000
Rusty Blackbird,Euphagus carolinus,6800000,6800000,5900000,930000,6800000
Brewer's Blackbird,Euphagus cyanocephalus,23000000,23000000,6700000,17000000,23000000
Common Grackle,Quiscalus quiscula,67000000,67000000,7500000,60000000,67000000
Boat-tailed Grackle,Quiscalus major,2200000,2200000,0,2200000,2200000
Great-tailed Grackle,Quiscalus mexicanus,30000000,8200000,0,8200000,8200000
Ovenbird,Seiurus aurocapilla,26000000,26000000,17000000,9500000,26000000
Worm-eating Warbler,Helmitheros vermivorum,780000,780000,0,780000,780000
Louisiana Waterthrush,Parkesia motacilla,450000,450000,0,450000,450000
Northern Waterthrush,Parkesia noveboracensis,17000000,17000000,13000000,4300000,17000000
Bachman's Warbler,Vermivora bachmanii,0,0,0,0,0
Golden-winged Warbler,Vermivora chrysoptera,400000,390000,63000,330000,390000
Blue-winged Warbler,Vermivora cyanoptera,680000,680000,24000,660000,680000
Black-and-white Warbler,Mniotilta varia,18000000,18000000,13000000,5200000,18000000
Prothonotary Warbler,Protonotaria citrea,2100000,2100000,0,2100000,2100000
Swainson's Warbler,Limnothlypis swainsonii,160000,160000,0,160000,160000
Tennessee Warbler,Oreothlypis peregrina,110000000,110000000,110000000,88000,110000000
Orange-crowned Warbler,Oreothlypis celata,82000000,82000000,48000000,34000000,82000000
Colima Warbler,Oreothlypis crissalis,25000,500,0,0,500
Lucy's Warbler,Oreothlypis luciae,3000000,2800000,0,2800000,2800000
Nashville Warbler,Oreothlypis ruficapilla,40000000,40000000,34000000,6200000,40000000
Virginia's Warbler,Oreothlypis virginiae,900000,900000,0,900000,900000
Connecticut Warbler,Oporornis agilis,1800000,1800000,1700000,50000,1800000
MacGillivray's Warbler,Geothlypis tolmiei,11000000,11000000,6500000,4700000,11000000
Mourning Warbler,Geothlypis philadelphia,14000000,14000000,12000000,1600000,14000000
Kentucky Warbler,Geothlypis formosa,2600000,2600000,0,2600000,2600000
Common Yellowthroat,Geothlypis trichas,77000000,76000000,33000000,42000000,76000000
Hooded Warbler,Setophaga citrina,5200000,5200000,880,5200000,5200000
American Redstart,Setophaga ruticilla,43000000,42000000,34000000,8500000,42000000
Kirtland's Warbler,Setophaga kirtlandii,4800,4800,0,0,4800
Cape May Warbler,Setophaga tigrina,7000000,7000000,6800000,260000,7000000
Cerulean Warbler,Setophaga cerulea,530000,530000,7200,520000,530000
Northern Parula,Setophaga americana,18000000,18000000,6200000,12000000,18000000
Tropical Parula,Setophaga pitiayumi,20000000,5000,0,0,5000
Magnolia Warbler,Setophaga magnolia,39000000,39000000,37000000,1400000,39000000
Bay-breasted Warbler,Setophaga castanea,9900000,9900000,9800000,100000,9900000
Blackburnian Warbler,Setophaga fusca,13000000,13000000,9300000,4000000,13000000
Yellow Warbler,Setophaga petechia,97000000,93000000,53000000,40000000,93000000
Chestnut-sided Warbler,Setophaga pensylvanica,18000000,18000000,13000000,5400000,18000000
Blackpoll Warbler,Setophaga striata,60000000,60000000,45000000,14000000,60000000
Black-throated Blue Warbler,Setophaga caerulescens,2400000,2400000,1600000,800000,2400000
Palm Warbler,Setophaga palmarum,13000000,13000000,13000000,60000,13000000
Pine Warbler,Setophaga pinus,13000000,13000000,620000,12000000,13000000
Yellow-rumped Warbler,Setophaga coronata,170000000,170000000,130000000,47000000,170000000
Yellow-throated Warbler,Setophaga dominica,2000000,2000000,0,2000000,2000000
Prairie Warbler,Setophaga discolor,3600000,3600000,0,3600000,3600000
Grace's Warbler,Setophaga graciae,3000000,1500000,0,1500000,1500000
Black-throated Gray Warbler,Setophaga nigrescens,3200000,3100000,480000,2700000,3100000
Townsend's Warbler,Setophaga townsendi,21000000,21000000,9400000,12000000,21000000
Hermit Warbler,Setophaga occidentalis,2500000,2500000,0,2500000,2500000
Golden-cheeked Warbler,Setophaga chrysoparia,110000,110000,0,110000,110000
Black-throated Green Warbler,Setophaga virens,9200000,9200000,6300000,2900000,9200000
Canada Warbler,Cardellina canadensis,2600000,2600000,2000000,550000,2600000
Wilson's Warbler,Cardellina pusilla,81000000,81000000,42000000,39000000,81000000
Red-faced Warbler,Cardellina rubrifrons,350000,250000,0,250000,250000
Painted Redstart,Myioborus pictus,600000,130000,0,130000,130000
Hepatic Tanager,Piranga flava,7600000,410000,0,410000,410000
Summer Tanager,Piranga rubra,12000000,11000000,0,11000000,11000000
Scarlet Tanager,Piranga olivacea,2600000,2600000,180000,2400000,2600000
Western Tanager,Piranga ludoviciana,15000000,15000000,5000000,10000000,15000000
Northern Cardinal,Cardinalis cardinalis,130000000,120000000,640000,120000000,120000000
Pyrrhuloxia,Cardinalis sinuatus,3000000,1600000,0,1600000,1600000
Rose-breasted Grosbeak,Pheucticus ludovicianus,4700000,4700000,2300000,2400000,4700000
Black-headed Grosbeak,Pheucticus melanocephalus,15000000,12000000,870000,11000000,12000000
Blue Grosbeak,Passerina caerulea,35000000,21000000,0,21000000,21000000
Lazuli Bunting,Passerina amoena,6500000,6500000,1000000,5400000,6500000
Indigo Bunting,Passerina cyanea,78000000,77000000,1700000,76000000,77000000
Varied Bunting,Passerina versicolor,360000,69000,0,69000,69000
Painted Bunting,Passerina ciris,15000000,13000000,0,13000000,13000000
Dickcissel,Spiza americana,28000000,28000000,2700,28000000,28000000
